!Date	PO4-P (mmole/l)	TP (mmole/l)	NOX-N (mole/l)	NH4 (mole/l)
1999-01-12 00:00:00	0.1000	0.6452	137.1429	5.3571
1999-02-17 00:00:00	0.1935	1.0323	94.2857	4.0000
1999-03-16 00:00:00	0.1935	1.4194	81.2143	3.2857
1999-03-30 00:00:00	0.2258	1.7419	138.0714	3.8571
1999-05-06 00:00:00	0.0968	1.2903	64.2143	3.7857
1999-06-16 00:00:00	0.0645	1.1935	23.2857	1.9286
1999-08-18 00:00:00	0.1935	1.0645	17.7143	2.2143
1999-09-23 00:00:00	0.1290	0.8065	15.7857	3.7143
1999-10-13 00:00:00	0.7742	0.5484	22.5000	3.5000
1999-11-17 00:00:00	0.4516	0.4839	21.7143	3.2143
1999-12-14 00:00:00	0.0968	1.0323	297.8571	5.5000
2000-01-19 00:00:00	0.0968	0.8710	95.7857	1.2143
2000-02-16 00:00:00	0.1290	1.0323	47.2857	1.7857
2000-03-15 00:00:00	0.0968	0.8387	49.2857	1.7857
2000-04-13 00:00:00	0.0968	0.7097	31.0714	2.1429
2000-05-17 00:00:00	0.2258	0.7742	7.9286	1.7857
2000-06-13 00:00:00	0.1290	0.9355	11.8571	0.9286
2000-08-15 00:00:00	0.0968	1.2903	11.4286	4.4286
2000-09-19 00:00:00	0.1290	0.8065	17.1429	1.2143
2000-10-11 00:00:00	0.1290	0.7742	15.2857	1.5714
2000-11-15 00:00:00	0.1290	1.0000	78.5000	3.2143
2000-12-12 00:00:00	0.2581	1.4194	95.9286	5.5714
2001-01-17 00:00:00	0.3548	0.8387	112.1429	3.7857
2001-02-13 00:00:00	0.2581	1.1935	101.3571	4.6429
2001-03-14 00:00:00	0.1935	1.0323	121.0000	4.8571
2001-04-17 00:00:00	0.1290	0.9032	57.7143	3.3571
2001-05-09 00:00:00	0.2258	1.3871	36.0000	3.0000
2001-06-11 00:00:00	0.1613	0.8387	18.7143	1.4286
2001-07-17 00:00:00	0.1935	1.1290	16.2143	2.4286
2001-09-18 00:00:00	0.0645	0.8065	55.7143	1.7857
2001-10-16 00:00:00	0.2581	0.7742	22.2143	1.7857
2001-11-07 00:00:00	0.0968	1.0645	91.7857	3.6429
2001-12-18 00:00:00	0.2258	1.0323	37.6429	5.5714
2002-01-16 00:00:00	0.4516	1.6452	189.4286	7.7857
2002-02-13 00:00:00	0.1613	1.3226	152.8571	4.5714
2002-03-12 00:00:00	0.0032	0.7419	93.8571	3.0714
2002-04-16 00:00:00	0.2903	1.2581	38.5000	3.1429
2002-05-15 00:00:00	0.1290	1.0645	18.4286	1.7857
2002-06-12 00:00:00	0.0645	0.9355	13.0000	3.5000
2002-07-15 00:00:00	0.0645	0.6452	6.4286	1.7143
2002-08-20 00:00:00	0.2903	0.9032	12.7143	1.2857
2002-09-24 00:00:00	0.0645	2.2903	17.9286	0.0071
2002-10-22 00:00:00	0.1290	0.4516	24.6429	0.5714
2002-11-19 00:00:00	0.1935	0.9032	87.7857	9.0000
2002-12-17 00:00:00	0.0645	0.5484	56.5000	2.7857
2003-01-22 00:00:00	0.1290	1.0968	74.5000	1.2143
2003-02-17 00:00:00	0.0645	0.8387	37.3571	4.3571
2003-03-17 00:00:00	0.0968	0.9032	66.1429	2.4286
2003-04-14 00:00:00	0.0645	0.8710	81.5714	3.5714
2003-05-13 00:00:00	0.1290	0.6452	81.5714	1.0714
2003-06-16 00:00:00	0.0645	0.7419	19.5714	1.0000
2003-07-08 00:00:00	0.2258	0.9677	17.0000	1.8571
2003-08-26 00:00:00	0.0032	1.1613	9.9286	1.1429
2003-09-16 00:00:00	0.1935	0.7097	12.1429	1.2857
2003-10-13 00:00:00	0.1935	0.6129	7.3571	0.3571
2003-11-18 00:00:00	0.1935	0.5806	19.7143	0.7143
2003-12-09 00:00:00	0.1290	0.6452	89.3571	2.5714
2004-01-13 00:00:00	0.0032	0.7742	131.1429	2.7143
2004-02-17 00:00:00	0.3226	0.8387	104.1429	2.6429
2004-03-16 00:00:00	0.3871	1.3871	125.2857	8.0714
2004-04-13 00:00:00	0.0323	1.1613	74.4286	1.3571
2004-05-12 00:00:00	0.1290	0.8387	28.8571	1.2143
2004-06-15 00:00:00	0.1613	0.7742	21.2143	1.0714
2004-07-13 00:00:00	0.1613	0.5484	9.2143	1.0714
2004-08-24 00:00:00	0.2258	0.7097	26.2143	1.3571
2004-09-21 00:00:00	0.1613	0.6452	18.6429	1.7143
2004-10-12 00:00:00	0.1613	0.4839	17.8571	1.5714
2004-11-16 00:00:00	0.0968	0.7097	48.6429	3.2857
2004-12-14 00:00:00	0.0968	0.9677	171.4286	2.3571
2005-01-18 00:00:00	0.0968	0.9032	159.3571	3.2143
2005-02-09 00:00:00	0.0968	0.7097	93.2143	3.5000
2005-03-15 00:00:00	0.0968	0.5806	48.7857	2.7857
2005-04-12 00:00:00	0.1613	1.2258	109.1429	2.9286
2005-05-10 00:00:00	0.1613	1.1613	57.7857	2.2143
2005-06-14 00:00:00	0.1290	1.0968	92.4286	1.0714
2005-07-19 00:00:00	0.1935	1.1935	20.8571	1.8571
2005-08-17 00:00:00	0.1935	1.2903	13.6429	1.2143
2005-09-13 00:00:00	0.2258	0.5161	23.8571	1.5714
2005-10-11 00:00:00	0.1935	1.0323	24.0714	2.1429
2005-11-15 00:00:00	0.1935	0.6774	16.8571	2.1429
2005-12-13 00:00:00	0.0968	0.7742	98.5000	2.5714
2006-01-17 00:00:00	0.1613	0.5806	39.2857	3.1429
2006-02-16 00:00:00	0.1613	0.4194	37.9286	2.8571
2006-03-14 00:00:00	0.1613	0.3548	28.2143	2.4286
2006-04-11 00:00:00	0.2903	1.5484	249.8571	3.7143
2006-05-17 00:00:00	0.2258	0.7097	65.5714	1.1429
2006-06-13 00:00:00	0.2903	0.9032	32.7857	1.2857
2006-07-11 00:00:00	0.4516	1.9355	24.3571	3.0000
2006-08-17 00:00:00	0.3871	1.6129	100.9286	2.9286
2006-09-21 00:00:00	0.1613	1.0968	19.8571	1.5000
2006-10-17 00:00:00	0.0968	0.6129	11.5714	0.3571
2006-11-16 00:00:00	0.1290	0.7742	125.6429	2.0714
2006-12-12 00:00:00	0.1613	0.7742	107.5714	2.5000
2007-01-16 00:00:00	0.3548	2.3226	249.7857	3.7857
2007-02-13 00:00:00	0.1613	0.5806	117.0000	2.7857
2007-03-13 00:00:00	0.2903	1.1290	241.5714	3.8571
2007-04-18 00:00:00	0.1290	1.1290	71.7857	2.7143
2007-05-15 00:00:00	0.1290	0.4194	48.5714	0.8571
2007-06-20 00:00:00	0.1935	0.4516	35.2857	1.5000
2007-07-10 00:00:00	0.2581	0.7419	20.7143	1.9286
2007-08-07 00:00:00	0.1935	0.6774	25.9286	2.5000
2007-09-17 00:00:00	0.2258	0.5806	26.1429	0.6429
2007-10-16 00:00:00	0.1935	0.5806	18.3571	0.8571
2007-11-13 00:00:00	0.0032	0.5806	59.2143	2.3571
2007-12-11 00:00:00	0.0968	0.9677	198.1429	2.4286
2008-01-15 00:00:00	0.1613	0.9677	150.7857	2.2143
2008-02-19 00:00:00	0.1613	0.8710	129.2857	2.0714
2008-03-12 00:00:00	0.2581	0.9677	128.8571	2.7857
2008-03-18 00:00:00	0.2258	1.3548	161.0714	2.8571
2008-04-02 00:00:00	0.0032	1.0000	95.2857	2.5714
2008-04-08 00:00:00	0.1935	1.0968	83.2143	2.5000
