!Date	m3/s	C
1999-01-01 00:00:00	2.520	0.50
1999-01-02 00:00:00	2.520	0.00
1999-01-03 00:00:00	2.407	0.00
1999-01-04 00:00:00	2.228	0.30
1999-01-05 00:00:00	2.035	0.20
1999-01-06 00:00:00	1.850	0.30
1999-01-07 00:00:00	1.680	0.60
1999-01-08 00:00:00	1.530	0.80
1999-01-09 00:00:00	1.410	0.70
1999-01-10 00:00:00	1.303	0.00
1999-01-11 00:00:00	1.206	0.20
1999-01-12 00:00:00	1.118	0.50
1999-01-13 00:00:00	1.040	0.80
1999-01-14 00:00:00	0.980	0.90
1999-01-15 00:00:00	0.946	0.70
1999-01-16 00:00:00	0.906	0.40
1999-01-17 00:00:00	0.861	0.00
1999-01-18 00:00:00	0.814	0.00
1999-01-19 00:00:00	0.767	0.20
1999-01-20 00:00:00	0.738	0.00
1999-01-21 00:00:00	0.737	0.00
1999-01-22 00:00:00	0.739	0.00
1999-01-23 00:00:00	0.741	0.10
1999-01-24 00:00:00	0.740	0.20
1999-01-25 00:00:00	0.739	0.10
1999-01-26 00:00:00	0.737	0.00
1999-01-27 00:00:00	0.737	0.00
1999-01-28 00:00:00	0.737	0.00
1999-01-29 00:00:00	0.739	0.10
1999-01-30 00:00:00	0.742	0.00
1999-01-31 00:00:00	0.748	0.10
1999-02-01 00:00:00	0.756	0.10
1999-02-02 00:00:00	0.776	0.10
1999-02-03 00:00:00	0.795	0.20
1999-02-04 00:00:00	0.810	0.60
1999-02-05 00:00:00	0.854	1.00
1999-02-06 00:00:00	1.029	1.20
1999-02-07 00:00:00	1.220	0.90
1999-02-08 00:00:00	1.380	0.60
1999-02-09 00:00:00	1.455	0.00
1999-02-10 00:00:00	1.465	0.00
1999-02-11 00:00:00	1.443	0.00
1999-02-12 00:00:00	1.405	0.00
1999-02-13 00:00:00	1.359	0.30
1999-02-14 00:00:00	1.311	0.60
1999-02-15 00:00:00	1.289	0.70
1999-02-16 00:00:00	1.291	0.60
1999-02-17 00:00:00	1.287	0.70
1999-02-18 00:00:00	1.266	0.40
1999-02-19 00:00:00	1.242	0.10
1999-02-20 00:00:00	1.212	0.60
1999-02-21 00:00:00	1.176	0.80
1999-02-22 00:00:00	1.144	0.30
1999-02-23 00:00:00	1.123	0.00
1999-02-24 00:00:00	1.106	0.00
1999-02-25 00:00:00	1.084	0.20
1999-02-26 00:00:00	1.055	0.10
1999-02-27 00:00:00	1.023	0.00
1999-02-28 00:00:00	0.989	0.10
1999-03-01 00:00:00	0.957	0.00
1999-03-02 00:00:00	0.926	0.20
1999-03-03 00:00:00	0.897	0.30
1999-03-04 00:00:00	0.868	0.10
1999-03-05 00:00:00	0.844	0.00
1999-03-06 00:00:00	0.821	0.00
1999-03-07 00:00:00	0.796	0.10
1999-03-08 00:00:00	0.771	0.10
1999-03-09 00:00:00	0.747	0.20
1999-03-10 00:00:00	0.724	0.20
1999-03-11 00:00:00	0.701	0.10
1999-03-12 00:00:00	0.680	0.10
1999-03-13 00:00:00	0.657	0.10
1999-03-14 00:00:00	0.635	0.10
1999-03-15 00:00:00	0.614	0.30
1999-03-16 00:00:00	0.596	0.60
1999-03-17 00:00:00	0.602	0.90
1999-03-18 00:00:00	0.746	1.40
1999-03-19 00:00:00	0.929	1.70
1999-03-20 00:00:00	1.156	1.50
1999-03-21 00:00:00	1.445	1.50
1999-03-22 00:00:00	1.781	1.40
1999-03-23 00:00:00	2.034	1.50
1999-03-24 00:00:00	2.162	1.30
1999-03-25 00:00:00	2.204	1.20
1999-03-26 00:00:00	2.149	1.30
1999-03-27 00:00:00	2.036	1.30
1999-03-28 00:00:00	1.897	1.80
1999-03-29 00:00:00	1.756	2.30
1999-03-30 00:00:00	1.632	2.90
1999-03-31 00:00:00	1.514	3.90
1999-04-01 00:00:00	1.400	4.10
1999-04-02 00:00:00	1.291	3.20
1999-04-03 00:00:00	1.192	2.60
1999-04-04 00:00:00	1.102	2.80
1999-04-05 00:00:00	1.021	3.40
1999-04-06 00:00:00	0.948	4.20
1999-04-07 00:00:00	0.885	4.50
1999-04-08 00:00:00	0.825	4.50
1999-04-09 00:00:00	0.768	4.80
1999-04-10 00:00:00	0.715	5.60
1999-04-11 00:00:00	0.665	5.60
1999-04-12 00:00:00	0.618	5.30
1999-04-13 00:00:00	0.573	5.10
1999-04-14 00:00:00	0.532	5.40
1999-04-15 00:00:00	0.519	6.50
1999-04-16 00:00:00	0.508	7.60
1999-04-17 00:00:00	0.499	8.20
1999-04-18 00:00:00	0.490	8.80
1999-04-19 00:00:00	0.480	9.20
1999-04-20 00:00:00	0.471	9.20
1999-04-21 00:00:00	0.463	9.00
1999-04-22 00:00:00	0.459	8.30
1999-04-23 00:00:00	0.459	7.20
1999-04-24 00:00:00	0.461	6.80
1999-04-25 00:00:00	0.465	7.20
1999-04-26 00:00:00	0.470	7.20
1999-04-27 00:00:00	0.474	7.10
1999-04-28 00:00:00	0.479	7.50
1999-04-29 00:00:00	0.482	7.30
1999-04-30 00:00:00	0.486	7.60
1999-05-01 00:00:00	0.487	8.60
1999-05-02 00:00:00	0.487	9.90
1999-05-03 00:00:00	0.484	10.80
1999-05-04 00:00:00	0.479	11.10
1999-05-05 00:00:00	0.471	10.80
1999-05-06 00:00:00	0.461	12.10
1999-05-07 00:00:00	0.451	13.50
1999-05-08 00:00:00	0.440	13.90
1999-05-09 00:00:00	0.428	14.10
1999-05-10 00:00:00	0.416	14.20
1999-05-11 00:00:00	0.404	10.90
1999-05-12 00:00:00	0.391	9.40
1999-05-13 00:00:00	0.379	8.10
1999-05-14 00:00:00	0.366	7.70
1999-05-15 00:00:00	0.353	8.90
1999-05-16 00:00:00	0.338	9.90
1999-05-17 00:00:00	0.322	9.70
1999-05-18 00:00:00	0.308	11.20
1999-05-19 00:00:00	0.291	12.20
1999-05-20 00:00:00	0.276	11.40
1999-05-21 00:00:00	0.275	10.50
1999-05-22 00:00:00	0.265	9.70
1999-05-23 00:00:00	0.253	8.90
1999-05-24 00:00:00	0.243	7.60
1999-05-25 00:00:00	0.255	7.90
1999-05-26 00:00:00	0.273	7.90
1999-05-27 00:00:00	0.288	8.60
1999-05-28 00:00:00	0.296	9.50
1999-05-29 00:00:00	0.292	10.40
1999-05-30 00:00:00	0.284	10.30
1999-05-31 00:00:00	0.280	10.10
1999-06-01 00:00:00	0.272	10.90
1999-06-02 00:00:00	0.261	11.80
1999-06-03 00:00:00	0.248	12.60
1999-06-04 00:00:00	0.233	14.20
1999-06-05 00:00:00	0.220	15.40
1999-06-06 00:00:00	0.206	15.40
1999-06-07 00:00:00	0.194	15.50
1999-06-08 00:00:00	0.182	13.80
1999-06-09 00:00:00	0.213	12.30
1999-06-10 00:00:00	0.226	12.80
1999-06-11 00:00:00	0.227	12.20
1999-06-12 00:00:00	0.222	13.10
1999-06-13 00:00:00	0.216	12.60
1999-06-14 00:00:00	0.213	13.40
1999-06-15 00:00:00	0.208	14.10
1999-06-16 00:00:00	0.201	13.40
1999-06-17 00:00:00	0.196	12.80
1999-06-18 00:00:00	0.195	12.50
1999-06-19 00:00:00	0.191	12.70
1999-06-20 00:00:00	0.184	12.70
1999-06-21 00:00:00	0.183	12.60
1999-06-22 00:00:00	0.200	13.20
1999-06-23 00:00:00	0.205	13.40
1999-06-24 00:00:00	0.202	14.20
1999-06-25 00:00:00	0.196	14.20
1999-06-26 00:00:00	0.192	14.60
1999-06-27 00:00:00	0.203	14.70
1999-06-28 00:00:00	0.204	15.00
1999-06-29 00:00:00	0.199	15.30
1999-06-30 00:00:00	0.191	15.70
1999-07-01 00:00:00	0.183	15.70
1999-07-02 00:00:00	0.177	16.20
1999-07-03 00:00:00	0.172	15.60
1999-07-04 00:00:00	0.179	14.90
1999-07-05 00:00:00	0.238	14.80
1999-07-06 00:00:00	0.276	14.40
1999-07-07 00:00:00	0.325	14.00
1999-07-08 00:00:00	0.388	14.10
1999-07-09 00:00:00	0.470	14.70
1999-07-10 00:00:00	0.480	15.10
