!Date	m3/s	C
1999-01-01 00:00:00	-1.700	
1999-01-02 00:00:00	-1.700	
1999-01-03 00:00:00	-1.805	
1999-01-04 00:00:00	-2.008	
1999-01-05 00:00:00	-2.177	
1999-01-06 00:00:00	-2.312	
1999-01-07 00:00:00	-2.409	
1999-01-08 00:00:00	-2.467	
1999-01-09 00:00:00	-2.501	
1999-01-10 00:00:00	-2.508	
1999-01-11 00:00:00	-2.498	
1999-01-12 00:00:00	-2.475	
1999-01-13 00:00:00	-2.439	
1999-01-14 00:00:00	-2.394	
1999-01-15 00:00:00	-2.353	
1999-01-16 00:00:00	-2.312	
1999-01-17 00:00:00	-2.274	
1999-01-18 00:00:00	-2.237	
1999-01-19 00:00:00	-2.201	
1999-01-20 00:00:00	-2.167	
1999-01-21 00:00:00	-2.136	
1999-01-22 00:00:00	-2.107	
1999-01-23 00:00:00	-2.077	
1999-01-24 00:00:00	-2.049	
1999-01-25 00:00:00	-2.020	
1999-01-26 00:00:00	-1.992	
1999-01-27 00:00:00	-1.965	
1999-01-28 00:00:00	-1.938	
1999-01-29 00:00:00	-1.912	
1999-01-30 00:00:00	-1.887	
1999-01-31 00:00:00	-1.862	
1999-02-01 00:00:00	-1.840	
1999-02-02 00:00:00	-1.818	
1999-02-03 00:00:00	-1.795	
1999-02-04 00:00:00	-1.774	
1999-02-05 00:00:00	-1.753	
1999-02-06 00:00:00	-1.741	
1999-02-07 00:00:00	-1.733	
1999-02-08 00:00:00	-1.726	
1999-02-09 00:00:00	-1.719	
1999-02-10 00:00:00	-1.711	
1999-02-11 00:00:00	-1.703	
1999-02-12 00:00:00	-1.694	
1999-02-13 00:00:00	-1.686	
1999-02-14 00:00:00	-1.676	
1999-02-15 00:00:00	-1.669	
1999-02-16 00:00:00	-1.662	
1999-02-17 00:00:00	-1.655	
1999-02-18 00:00:00	-1.648	
1999-02-19 00:00:00	-1.641	
1999-02-20 00:00:00	-1.633	
1999-02-21 00:00:00	-1.625	
1999-02-22 00:00:00	-1.617	
1999-02-23 00:00:00	-1.610	
1999-02-24 00:00:00	-1.603	
1999-02-25 00:00:00	-1.597	
1999-02-26 00:00:00	-1.590	
1999-02-27 00:00:00	-1.583	
1999-02-28 00:00:00	-1.575	
1999-03-01 00:00:00	-1.566	
1999-03-02 00:00:00	-1.558	
1999-03-03 00:00:00	-1.549	
1999-03-04 00:00:00	-1.539	
1999-03-05 00:00:00	-1.529	
1999-03-06 00:00:00	-1.519	
1999-03-07 00:00:00	-1.508	
1999-03-08 00:00:00	-1.496	
1999-03-09 00:00:00	-1.484	
1999-03-10 00:00:00	-1.472	
1999-03-11 00:00:00	-1.459	
1999-03-12 00:00:00	-1.446	
1999-03-13 00:00:00	-1.432	
1999-03-14 00:00:00	-1.418	
1999-03-15 00:00:00	-1.404	
1999-03-16 00:00:00	-1.390	
1999-03-17 00:00:00	-1.377	
1999-03-18 00:00:00	-1.370	
1999-03-19 00:00:00	-1.365	
1999-03-20 00:00:00	-1.361	
1999-03-21 00:00:00	-1.361	
1999-03-22 00:00:00	-1.366	
1999-03-23 00:00:00	-1.375	
1999-03-24 00:00:00	-1.477	
1999-03-25 00:00:00	-1.633	
1999-03-26 00:00:00	-1.789	
1999-03-27 00:00:00	-1.935	
1999-03-28 00:00:00	-2.062	
1999-03-29 00:00:00	-2.163	
1999-03-30 00:00:00	-2.241	
1999-03-31 00:00:00	-2.293	
1999-04-01 00:00:00	-2.327	
1999-04-02 00:00:00	-2.344	
1999-04-03 00:00:00	-2.345	
1999-04-04 00:00:00	-2.331	
1999-04-05 00:00:00	-2.304	
1999-04-06 00:00:00	-2.269	
1999-04-07 00:00:00	-2.227	
1999-04-08 00:00:00	-2.180	
1999-04-09 00:00:00	-2.135	
1999-04-10 00:00:00	-2.091	
1999-04-11 00:00:00	-2.049	
1999-04-12 00:00:00	-2.008	
1999-04-13 00:00:00	-1.969	
1999-04-14 00:00:00	-1.931	
1999-04-15 00:00:00	-1.894	
1999-04-16 00:00:00	-1.858	
1999-04-17 00:00:00	-1.822	
1999-04-18 00:00:00	-1.786	
1999-04-19 00:00:00	-1.751	
1999-04-20 00:00:00	-1.716	
1999-04-21 00:00:00	-1.683	
1999-04-22 00:00:00	-1.650	
1999-04-23 00:00:00	-1.621	
1999-04-24 00:00:00	-1.591	
1999-04-25 00:00:00	-1.562	
1999-04-26 00:00:00	-1.534	
1999-04-27 00:00:00	-1.507	
1999-04-28 00:00:00	-1.480	
1999-04-29 00:00:00	-1.452	
1999-04-30 00:00:00	-1.425	
1999-05-01 00:00:00	-1.399	
1999-05-02 00:00:00	-1.372	
1999-05-03 00:00:00	-1.346	
1999-05-04 00:00:00	-1.320	
1999-05-05 00:00:00	-1.295	
1999-05-06 00:00:00	-1.271	
1999-05-07 00:00:00	-1.246	
1999-05-08 00:00:00	-1.222	
1999-05-09 00:00:00	-1.197	
1999-05-10 00:00:00	-1.173	
1999-05-11 00:00:00	-1.149	
1999-05-12 00:00:00	-1.125	
1999-05-13 00:00:00	-1.102	
1999-05-14 00:00:00	-1.079	
1999-05-15 00:00:00	-1.058	
1999-05-16 00:00:00	-1.038	
1999-05-17 00:00:00	-1.018	
1999-05-18 00:00:00	-0.999	
1999-05-19 00:00:00	-0.979	
1999-05-20 00:00:00	-0.961	
1999-05-21 00:00:00	-0.945	
1999-05-22 00:00:00	-0.930	
1999-05-23 00:00:00	-0.915	
1999-05-24 00:00:00	-0.901	
1999-05-25 00:00:00	-0.898	
1999-05-26 00:00:00	-0.899	
1999-05-27 00:00:00	-0.901	
1999-05-28 00:00:00	-0.904	
1999-05-29 00:00:00	-0.906	
1999-05-30 00:00:00	-0.906	
1999-05-31 00:00:00	-0.904	
1999-06-01 00:00:00	-0.899	
1999-06-02 00:00:00	-0.892	
1999-06-03 00:00:00	-0.882	
1999-06-04 00:00:00	-0.877	
1999-06-05 00:00:00	-0.875	
1999-06-06 00:00:00	-0.870	
1999-06-07 00:00:00	-0.863	
1999-06-08 00:00:00	-0.859	
1999-06-09 00:00:00	-0.857	
1999-06-10 00:00:00	-0.864	
1999-06-11 00:00:00	-0.877	
1999-06-12 00:00:00	-0.888	
1999-06-13 00:00:00	-0.896	
1999-06-14 00:00:00	-0.900	
1999-06-15 00:00:00	-0.901	
1999-06-16 00:00:00	-0.903	
1999-06-17 00:00:00	-0.908	
1999-06-18 00:00:00	-0.911	
1999-06-19 00:00:00	-0.914	
1999-06-20 00:00:00	-0.921	
1999-06-21 00:00:00	-0.932	
1999-06-22 00:00:00	-0.946	
1999-06-23 00:00:00	-0.956	
1999-06-24 00:00:00	-0.962	
1999-06-25 00:00:00	-0.964	
1999-06-26 00:00:00	-0.966	
1999-06-27 00:00:00	-0.969	
1999-06-28 00:00:00	-0.969	
1999-06-29 00:00:00	-0.966	
1999-06-30 00:00:00	-0.965	
1999-07-01 00:00:00	-0.963	
1999-07-02 00:00:00	-0.959	
1999-07-03 00:00:00	-0.954	
1999-07-04 00:00:00	-0.950	
1999-07-05 00:00:00	-0.938	
1999-07-06 00:00:00	-0.923	
1999-07-07 00:00:00	-0.915	
1999-07-08 00:00:00	-0.904	
1999-07-09 00:00:00	-0.895	
1999-07-10 00:00:00	-0.891	
1999-07-11 00:00:00	-0.894	
1999-07-12 00:00:00	-0.897	
1999-07-13 00:00:00	-0.901	
1999-07-14 00:00:00	-0.904	
1999-07-15 00:00:00	-0.905	
1999-07-16 00:00:00	-0.906	
1999-07-17 00:00:00	-0.904	
1999-07-18 00:00:00	-0.899	
1999-07-19 00:00:00	-0.913	
1999-07-20 00:00:00	-0.932	
1999-07-21 00:00:00	-0.950	
1999-07-22 00:00:00	-0.966	
1999-07-23 00:00:00	-0.978	
1999-07-24 00:00:00	-0.989	
1999-07-25 00:00:00	-0.997	
1999-07-26 00:00:00	-1.002	
1999-07-27 00:00:00	-1.002	
1999-07-28 00:00:00	-0.998	
1999-07-29 00:00:00	-0.996	
1999-07-30 00:00:00	-0.989	
1999-07-31 00:00:00	-0.979	
1999-08-01 00:00:00	-0.969	
1999-08-02 00:00:00	-0.962	
1999-08-03 00:00:00	-0.950	
1999-08-04 00:00:00	-0.945	
1999-08-05 00:00:00	-0.939	
1999-08-06 00:00:00	-0.931	
1999-08-07 00:00:00	-0.921	
1999-08-08 00:00:00	-0.911	
1999-08-09 00:00:00	-0.902	
1999-08-10 00:00:00	-0.891	
1999-08-11 00:00:00	-0.879	
1999-08-12 00:00:00	-0.868	
1999-08-13 00:00:00	-0.857	
1999-08-14 00:00:00	-0.846	
1999-08-15 00:00:00	-0.842	
1999-08-16 00:00:00	-0.841	
1999-08-17 00:00:00	-0.838	
1999-08-18 00:00:00	-0.835	
1999-08-19 00:00:00	-0.831	
1999-08-20 00:00:00	-0.833	
1999-08-21 00:00:00	-0.835	
1999-08-22 00:00:00	-0.833	
1999-08-23 00:00:00	-0.827	
1999-08-24 00:00:00	-0.820	
1999-08-25 00:00:00	-0.815	
1999-08-26 00:00:00	-0.814	
1999-08-27 00:00:00	-0.823	
1999-08-28 00:00:00	-0.837	
1999-08-29 00:00:00	-0.842	
1999-08-30 00:00:00	-0.838	
1999-08-31 00:00:00	-0.834	
1999-09-01 00:00:00	-0.832	
1999-09-02 00:00:00	-0.832	
1999-09-03 00:00:00	-0.831	
1999-09-04 00:00:00	-0.826	
1999-09-05 00:00:00	-0.821	
1999-09-06 00:00:00	-0.812	
1999-09-07 00:00:00	-0.801	
1999-09-08 00:00:00	-0.787	
1999-09-09 00:00:00	-0.773	
1999-09-10 00:00:00	-0.764	
1999-09-11 00:00:00	-0.767	
1999-09-12 00:00:00	-0.774	
1999-09-13 00:00:00	-0.781	
1999-09-14 00:00:00	-0.786	
1999-09-15 00:00:00	-0.793	
1999-09-16 00:00:00	-0.799	
1999-09-17 00:00:00	-0.806	
1999-09-18 00:00:00	-0.815	
1999-09-19 00:00:00	-0.809	
1999-09-20 00:00:00	-0.810	
1999-09-21 00:00:00	-0.812	
1999-09-22 00:00:00	-0.812	
1999-09-23 00:00:00	-0.811	
1999-09-24 00:00:00	-0.810	
1999-09-25 00:00:00	-0.789	
1999-09-26 00:00:00	-0.762	
1999-09-27 00:00:00	-0.738	
1999-09-28 00:00:00	-0.716	
1999-09-29 00:00:00	-0.701	
1999-09-30 00:00:00	-0.685	
1999-10-01 00:00:00	-0.664	
1999-10-02 00:00:00	-0.655	
1999-10-03 00:00:00	-0.652	
1999-10-04 00:00:00	-0.647	
1999-10-05 00:00:00	-0.640	
1999-10-06 00:00:00	-0.632	
1999-10-07 00:00:00	-0.622	
1999-10-08 00:00:00	-0.611	
1999-10-09 00:00:00	-0.599	
1999-10-10 00:00:00	-0.586	
1999-10-11 00:00:00	-0.574	
1999-10-12 00:00:00	-0.561	
1999-10-13 00:00:00	-0.548	
1999-10-14 00:00:00	-0.536	
1999-10-15 00:00:00	-0.523	
1999-10-16 00:00:00	-0.512	
1999-10-17 00:00:00	-0.500	
1999-10-18 00:00:00	-0.488	
1999-10-19 00:00:00	-0.476	
1999-10-20 00:00:00	-0.465	
1999-10-21 00:00:00	-0.455	
1999-10-22 00:00:00	-0.445	
1999-10-23 00:00:00	-0.439	
1999-10-24 00:00:00	-0.435	
1999-10-25 00:00:00	-0.432	
1999-10-26 00:00:00	-0.431	
1999-10-27 00:00:00	-0.433	
1999-10-28 00:00:00	-0.434	
1999-10-29 00:00:00	-0.435	
1999-10-30 00:00:00	-0.435	
1999-10-31 00:00:00	-0.433	
1999-11-01 00:00:00	-0.430	
1999-11-02 00:00:00	-0.426	
1999-11-03 00:00:00	-0.422	
1999-11-04 00:00:00	-0.416	
1999-11-05 00:00:00	-0.409	
1999-11-06 00:00:00	-0.402	
1999-11-07 00:00:00	-0.395	
1999-11-08 00:00:00	-0.390	
1999-11-09 00:00:00	-0.384	
1999-11-10 00:00:00	-0.379	
1999-11-11 00:00:00	-0.374	
1999-11-12 00:00:00	-0.369	
1999-11-13 00:00:00	-0.364	
1999-11-14 00:00:00	-0.360	
1999-11-15 00:00:00	-0.357	
1999-11-16 00:00:00	-0.355	
1999-11-17 00:00:00	-0.352	
1999-11-18 00:00:00	-0.349	
1999-11-19 00:00:00	-0.348	
1999-11-20 00:00:00	-0.349	
1999-11-21 00:00:00	-0.351	
1999-11-22 00:00:00	-0.352	
1999-11-23 00:00:00	-0.354	
1999-11-24 00:00:00	-0.356	
1999-11-25 00:00:00	-0.357	
1999-11-26 00:00:00	-0.360	
1999-11-27 00:00:00	-0.362	
1999-11-28 00:00:00	-0.364	
1999-11-29 00:00:00	-0.365	
1999-11-30 00:00:00	-0.367	
1999-12-01 00:00:00	-0.369	
1999-12-02 00:00:00	-0.370	
1999-12-03 00:00:00	-0.371	
1999-12-04 00:00:00	-0.372	
1999-12-05 00:00:00	-0.375	
1999-12-06 00:00:00	-0.379	
1999-12-07 00:00:00	-0.385	
1999-12-08 00:00:00	-0.400	
1999-12-09 00:00:00	-0.412	
1999-12-10 00:00:00	-0.425	
1999-12-11 00:00:00	-0.436	
1999-12-12 00:00:00	-0.446	
1999-12-13 00:00:00	-0.455	
1999-12-14 00:00:00	-0.463	
1999-12-15 00:00:00	-0.471	
1999-12-16 00:00:00	-0.524	
1999-12-17 00:00:00	-0.574	
1999-12-18 00:00:00	-0.608	
1999-12-19 00:00:00	-0.633	
1999-12-20 00:00:00	-0.661	
1999-12-21 00:00:00	-0.686	
1999-12-22 00:00:00	-0.701	
1999-12-23 00:00:00	-0.709	
1999-12-24 00:00:00	-0.717	
1999-12-25 00:00:00	-0.724	
1999-12-26 00:00:00	-0.730	
1999-12-27 00:00:00	-0.737	
1999-12-28 00:00:00	-0.745	
1999-12-29 00:00:00	-0.755	
1999-12-30 00:00:00	-0.762	
1999-12-31 00:00:00	-0.768	
2000-01-01 00:00:00	-0.773	
2000-01-02 00:00:00	-0.782	
2000-01-03 00:00:00	-0.790	
2000-01-04 00:00:00	-0.798	
2000-01-05 00:00:00	-0.808	
2000-01-06 00:00:00	-0.820	
2000-01-07 00:00:00	-0.832	
2000-01-08 00:00:00	-0.846	
2000-01-09 00:00:00	-0.862	
2000-01-10 00:00:00	-0.882	
2000-01-11 00:00:00	-0.911	
2000-01-12 00:00:00	-0.939	
2000-01-13 00:00:00	-0.967	
2000-01-14 00:00:00	-0.995	
2000-01-15 00:00:00	-1.021	
2000-01-16 00:00:00	-1.045	
2000-01-17 00:00:00	-1.103	
2000-01-18 00:00:00	-1.176	
2000-01-19 00:00:00	-1.220	
2000-01-20 00:00:00	-1.241	
2000-01-21 00:00:00	-1.254	
2000-01-22 00:00:00	-1.268	
2000-01-23 00:00:00	-1.282	
2000-01-24 00:00:00	-1.295	
2000-01-25 00:00:00	-1.307	
2000-01-26 00:00:00	-1.320	
2000-01-27 00:00:00	-1.330	
2000-01-28 00:00:00	-1.340	
2000-01-29 00:00:00	-1.349	
2000-01-30 00:00:00	-1.389	
2000-01-31 00:00:00	-1.420	
2000-02-01 00:00:00	-1.437	
2000-02-02 00:00:00	-1.440	
2000-02-03 00:00:00	-1.439	
2000-02-04 00:00:00	-1.437	
2000-02-05 00:00:00	-1.434	
2000-02-06 00:00:00	-1.431	
2000-02-07 00:00:00	-1.427	
2000-02-08 00:00:00	-1.425	
2000-02-09 00:00:00	-1.423	
2000-02-10 00:00:00	-1.420	
2000-02-11 00:00:00	-1.415	
2000-02-12 00:00:00	-1.411	
2000-02-13 00:00:00	-1.408	
2000-02-14 00:00:00	-1.406	
2000-02-15 00:00:00	-1.407	
2000-02-16 00:00:00	-1.409	
2000-02-17 00:00:00	-1.410	
2000-02-18 00:00:00	-1.411	
2000-02-19 00:00:00	-1.410	
2000-02-20 00:00:00	-1.410	
2000-02-21 00:00:00	-1.408	
2000-02-22 00:00:00	-1.405	
2000-02-23 00:00:00	-1.403	
2000-02-24 00:00:00	-1.400	
2000-02-25 00:00:00	-1.396	
2000-02-26 00:00:00	-1.392	
2000-02-27 00:00:00	-1.387	
2000-02-28 00:00:00	-1.384	
2000-02-29 00:00:00	-1.381	
2000-03-01 00:00:00	-1.379	
2000-03-02 00:00:00	-1.375	
2000-03-03 00:00:00	-1.370	
2000-03-04 00:00:00	-1.364	
2000-03-05 00:00:00	-1.357	
2000-03-06 00:00:00	-1.349	
2000-03-07 00:00:00	-1.340	
2000-03-08 00:00:00	-1.331	
2000-03-09 00:00:00	-1.322	
2000-03-10 00:00:00	-1.312	
2000-03-11 00:00:00	-1.301	
2000-03-12 00:00:00	-1.290	
2000-03-13 00:00:00	-1.279	
2000-03-14 00:00:00	-1.269	
2000-03-15 00:00:00	-1.258	
2000-03-16 00:00:00	-1.246	
2000-03-17 00:00:00	-1.236	
2000-03-18 00:00:00	-1.226	
2000-03-19 00:00:00	-1.216	
2000-03-20 00:00:00	-1.205	
2000-03-21 00:00:00	-1.194	
2000-03-22 00:00:00	-1.183	
2000-03-23 00:00:00	-1.171	
2000-03-24 00:00:00	-1.160	
2000-03-25 00:00:00	-1.151	
2000-03-26 00:00:00	-1.149	
2000-03-27 00:00:00	-1.152	
2000-03-28 00:00:00	-1.154	
2000-03-29 00:00:00	-1.154	
2000-03-30 00:00:00	-1.155	
2000-03-31 00:00:00	-1.226	
2000-04-01 00:00:00	-1.324	
2000-04-02 00:00:00	-1.418	
2000-04-03 00:00:00	-1.510	
2000-04-04 00:00:00	-1.601	
2000-04-05 00:00:00	-1.704	
2000-04-06 00:00:00	-1.820	
2000-04-07 00:00:00	-1.931	
2000-04-08 00:00:00	-2.028	
2000-04-09 00:00:00	-2.101	
2000-04-10 00:00:00	-2.153	
2000-04-11 00:00:00	-2.188	
2000-04-12 00:00:00	-2.207	
2000-04-13 00:00:00	-2.207	
2000-04-14 00:00:00	-2.189	
2000-04-15 00:00:00	-2.157	
2000-04-16 00:00:00	-2.120	
2000-04-17 00:00:00	-2.076	
2000-04-18 00:00:00	-2.026	
2000-04-19 00:00:00	-1.972	
2000-04-20 00:00:00	-1.917	
2000-04-21 00:00:00	-1.865	
2000-04-22 00:00:00	-1.815	
2000-04-23 00:00:00	-1.767	
2000-04-24 00:00:00	-1.722	
2000-04-25 00:00:00	-1.679	
2000-04-26 00:00:00	-1.637	
2000-04-27 00:00:00	-1.596	
2000-04-28 00:00:00	-1.557	
2000-04-29 00:00:00	-1.520	
2000-04-30 00:00:00	-1.483	
2000-05-01 00:00:00	-1.448	
2000-05-02 00:00:00	-1.414	
2000-05-03 00:00:00	-1.386	
2000-05-04 00:00:00	-1.359	
2000-05-05 00:00:00	-1.334	
2000-05-06 00:00:00	-1.309	
2000-05-07 00:00:00	-1.285	
2000-05-08 00:00:00	-1.263	
2000-05-09 00:00:00	-1.242	
2000-05-10 00:00:00	-1.221	
2000-05-11 00:00:00	-1.201	
2000-05-12 00:00:00	-1.181	
2000-05-13 00:00:00	-1.161	
2000-05-14 00:00:00	-1.142	
2000-05-15 00:00:00	-1.122	
2000-05-16 00:00:00	-1.103	
2000-05-17 00:00:00	-1.083	
2000-05-18 00:00:00	-1.064	
2000-05-19 00:00:00	-1.046	
2000-05-20 00:00:00	-1.029	
2000-05-21 00:00:00	-1.011	
2000-05-22 00:00:00	-0.994	
2000-05-23 00:00:00	-0.976	
2000-05-24 00:00:00	-0.959	
2000-05-25 00:00:00	-0.942	
2000-05-26 00:00:00	-0.925	
2000-05-27 00:00:00	-0.909	
2000-05-28 00:00:00	-0.895	
2000-05-29 00:00:00	-0.886	
2000-05-30 00:00:00	-0.882	
2000-05-31 00:00:00	-0.869	
2000-06-01 00:00:00	-0.856	
2000-06-02 00:00:00	-0.843	
2000-06-03 00:00:00	-0.831	
2000-06-04 00:00:00	-0.822	
2000-06-05 00:00:00	-0.814	
2000-06-06 00:00:00	-0.803	
2000-06-07 00:00:00	-0.792	
2000-06-08 00:00:00	-0.780	
2000-06-09 00:00:00	-0.769	
2000-06-10 00:00:00	-0.757	
2000-06-11 00:00:00	-0.751	
2000-06-12 00:00:00	-0.750	
2000-06-13 00:00:00	-0.755	
2000-06-14 00:00:00	-0.757	
2000-06-15 00:00:00	-0.756	
2000-06-16 00:00:00	-0.754	
2000-06-17 00:00:00	-0.751	
2000-06-18 00:00:00	-0.748	
2000-06-19 00:00:00	-0.744	
2000-06-20 00:00:00	-0.740	
2000-06-21 00:00:00	-0.735	
2000-06-22 00:00:00	-0.734	
2000-06-23 00:00:00	-0.734	
2000-06-24 00:00:00	-0.733	
2000-06-25 00:00:00	-0.731	
2000-06-26 00:00:00	-0.728	
2000-06-27 00:00:00	-0.725	
2000-06-28 00:00:00	-0.721	
2000-06-29 00:00:00	-0.718	
2000-06-30 00:00:00	-0.714	
2000-07-01 00:00:00	-0.709	
2000-07-02 00:00:00	-0.704	
2000-07-03 00:00:00	-0.698	
2000-07-04 00:00:00	-0.692	
2000-07-05 00:00:00	-0.685	
2000-07-06 00:00:00	-0.677	
2000-07-07 00:00:00	-0.668	
2000-07-08 00:00:00	-0.659	
2000-07-09 00:00:00	-0.650	
2000-07-10 00:00:00	-0.640	
2000-07-11 00:00:00	-0.630	
2000-07-12 00:00:00	-0.619	
2000-07-13 00:00:00	-0.608	
2000-07-14 00:00:00	-0.597	
2000-07-15 00:00:00	-0.586	
2000-07-16 00:00:00	-0.592	
2000-07-17 00:00:00	-0.606	
2000-07-18 00:00:00	-0.623	
2000-07-19 00:00:00	-0.638	
2000-07-20 00:00:00	-0.655	
2000-07-21 00:00:00	-0.671	
2000-07-22 00:00:00	-0.688	
2000-07-23 00:00:00	-0.701	
2000-07-24 00:00:00	-0.719	
2000-07-25 00:00:00	-0.723	
2000-07-26 00:00:00	-0.728	
2000-07-27 00:00:00	-0.731	
2000-07-28 00:00:00	-0.731	
2000-07-29 00:00:00	-0.727	
2000-07-30 00:00:00	-0.723	
2000-07-31 00:00:00	-0.717	
2000-08-01 00:00:00	-0.714	
2000-08-02 00:00:00	-0.713	
2000-08-03 00:00:00	-0.711	
2000-08-04 00:00:00	-0.707	
2000-08-05 00:00:00	-0.705	
2000-08-06 00:00:00	-0.703	
2000-08-07 00:00:00	-0.700	
2000-08-08 00:00:00	-0.702	
2000-08-09 00:00:00	-0.704	
2000-08-10 00:00:00	-0.703	
2000-08-11 00:00:00	-0.708	
2000-08-12 00:00:00	-0.707	
2000-08-13 00:00:00	-0.715	
2000-08-14 00:00:00	-0.730	
2000-08-15 00:00:00	-0.745	
2000-08-16 00:00:00	-0.757	
2000-08-17 00:00:00	-0.765	
2000-08-18 00:00:00	-0.769	
2000-08-19 00:00:00	-0.770	
2000-08-20 00:00:00	-0.771	
2000-08-21 00:00:00	-0.770	
2000-08-22 00:00:00	-0.768	
2000-08-23 00:00:00	-0.765	
2000-08-24 00:00:00	-0.763	
2000-08-25 00:00:00	-0.765	
2000-08-26 00:00:00	-0.767	
2000-08-27 00:00:00	-0.770	
2000-08-28 00:00:00	-0.774	
2000-08-29 00:00:00	-0.774	
2000-08-30 00:00:00	-0.775	
2000-08-31 00:00:00	-0.778	
2000-09-01 00:00:00	-0.780	
2000-09-02 00:00:00	-0.792	
2000-09-03 00:00:00	-0.803	
2000-09-04 00:00:00	-0.814	
2000-09-05 00:00:00	-0.822	
2000-09-06 00:00:00	-0.829	
2000-09-07 00:00:00	-0.837	
2000-09-08 00:00:00	-0.843	
2000-09-09 00:00:00	-0.849	
2000-09-10 00:00:00	-0.852	
2000-09-11 00:00:00	-0.856	
2000-09-12 00:00:00	-0.864	
2000-09-13 00:00:00	-0.875	
2000-09-14 00:00:00	-0.885	
2000-09-15 00:00:00	-0.894	
2000-09-16 00:00:00	-0.902	
2000-09-17 00:00:00	-0.906	
2000-09-18 00:00:00	-0.909	
2000-09-19 00:00:00	-0.921	
2000-09-20 00:00:00	-0.938	
2000-09-21 00:00:00	-0.952	
2000-09-22 00:00:00	-0.960	
2000-09-23 00:00:00	-0.968	
2000-09-24 00:00:00	-0.976	
2000-09-25 00:00:00	-0.982	
2000-09-26 00:00:00	-0.985	
2000-09-27 00:00:00	-0.983	
2000-09-28 00:00:00	-0.985	
2000-09-29 00:00:00	-0.984	
2000-09-30 00:00:00	-0.977	
2000-10-01 00:00:00	-0.965	
2000-10-02 00:00:00	-0.952	
2000-10-03 00:00:00	-0.939	
2000-10-04 00:00:00	-0.926	
2000-10-05 00:00:00	-0.907	
2000-10-06 00:00:00	-0.884	
2000-10-07 00:00:00	-0.863	
2000-10-08 00:00:00	-0.842	
2000-10-09 00:00:00	-0.820	
2000-10-10 00:00:00	-0.797	
2000-10-11 00:00:00	-0.777	
2000-10-12 00:00:00	-0.768	
2000-10-13 00:00:00	-0.777	
2000-10-14 00:00:00	-0.760	
2000-10-15 00:00:00	-0.747	
2000-10-16 00:00:00	-0.755	
2000-10-17 00:00:00	-0.769	
2000-10-18 00:00:00	-0.778	
2000-10-19 00:00:00	-0.794	
2000-10-20 00:00:00	-0.811	
2000-10-21 00:00:00	-0.824	
2000-10-22 00:00:00	-0.833	
2000-10-23 00:00:00	-0.837	
2000-10-24 00:00:00	-0.801	
2000-10-25 00:00:00	-0.760	
2000-10-26 00:00:00	-0.724	
2000-10-27 00:00:00	-0.690	
2000-10-28 00:00:00	-0.658	
2000-10-29 00:00:00	-0.628	
2000-10-30 00:00:00	-0.600	
2000-10-31 00:00:00	-0.574	
2000-11-01 00:00:00	-0.555	
2000-11-02 00:00:00	-0.548	
2000-11-03 00:00:00	-0.531	
2000-11-04 00:00:00	-0.509	
2000-11-05 00:00:00	-0.488	
2000-11-06 00:00:00	-0.469	
2000-11-07 00:00:00	-0.452	
2000-11-08 00:00:00	-0.435	
2000-11-09 00:00:00	-0.420	
2000-11-10 00:00:00	-0.405	
2000-11-11 00:00:00	-0.391	
2000-11-12 00:00:00	-0.378	
2000-11-13 00:00:00	-0.365	
2000-11-14 00:00:00	-0.354	
2000-11-15 00:00:00	-0.343	
2000-11-16 00:00:00	-0.333	
2000-11-17 00:00:00	-0.324	
2000-11-18 00:00:00	-0.316	
2000-11-19 00:00:00	-0.308	
2000-11-20 00:00:00	-0.300	
2000-11-21 00:00:00	-0.294	
2000-11-22 00:00:00	-0.287	
2000-11-23 00:00:00	-0.281	
2000-11-24 00:00:00	-0.275	
2000-11-25 00:00:00	-0.270	
2000-11-26 00:00:00	-0.265	
2000-11-27 00:00:00	-0.261	
2000-11-28 00:00:00	-0.258	
2000-11-29 00:00:00	-0.257	
2000-11-30 00:00:00	-0.257	
2000-12-01 00:00:00	-0.257	
2000-12-02 00:00:00	-0.257	
2000-12-03 00:00:00	-0.257	
2000-12-04 00:00:00	-0.257	
2000-12-05 00:00:00	-0.257	
2000-12-06 00:00:00	-0.257	
