!Date	m3/s	C
1999-01-01 00:00:00	2.450	0.50
1999-01-02 00:00:00	2.450	0.00
1999-01-03 00:00:00	2.340	0.00
1999-01-04 00:00:00	2.166	0.30
1999-01-05 00:00:00	1.979	0.20
1999-01-06 00:00:00	1.799	0.30
1999-01-07 00:00:00	1.634	0.60
1999-01-08 00:00:00	1.488	0.80
1999-01-09 00:00:00	1.371	0.70
1999-01-10 00:00:00	1.267	0.00
1999-01-11 00:00:00	1.172	0.20
1999-01-12 00:00:00	1.088	0.50
1999-01-13 00:00:00	1.012	0.80
1999-01-14 00:00:00	0.953	0.90
1999-01-15 00:00:00	0.920	0.70
1999-01-16 00:00:00	0.881	0.40
1999-01-17 00:00:00	0.837	0.00
1999-01-18 00:00:00	0.791	0.00
1999-01-19 00:00:00	0.746	0.20
1999-01-20 00:00:00	0.718	0.00
1999-01-21 00:00:00	0.716	0.00
1999-01-22 00:00:00	0.719	0.00
1999-01-23 00:00:00	0.720	0.10
1999-01-24 00:00:00	0.720	0.20
1999-01-25 00:00:00	0.719	0.10
1999-01-26 00:00:00	0.717	0.00
1999-01-27 00:00:00	0.717	0.00
1999-01-28 00:00:00	0.717	0.00
1999-01-29 00:00:00	0.719	0.10
1999-01-30 00:00:00	0.721	0.00
1999-01-31 00:00:00	0.727	0.10
1999-02-01 00:00:00	0.735	0.10
1999-02-02 00:00:00	0.754	0.10
1999-02-03 00:00:00	0.773	0.20
1999-02-04 00:00:00	0.787	0.60
1999-02-05 00:00:00	0.831	1.00
1999-02-06 00:00:00	1.001	1.20
1999-02-07 00:00:00	1.186	0.90
1999-02-08 00:00:00	1.342	0.60
1999-02-09 00:00:00	1.415	0.00
1999-02-10 00:00:00	1.424	0.00
1999-02-11 00:00:00	1.403	0.00
1999-02-12 00:00:00	1.366	0.00
1999-02-13 00:00:00	1.321	0.30
1999-02-14 00:00:00	1.275	0.60
1999-02-15 00:00:00	1.254	0.70
1999-02-16 00:00:00	1.256	0.60
1999-02-17 00:00:00	1.251	0.70
1999-02-18 00:00:00	1.231	0.40
1999-02-19 00:00:00	1.207	0.10
1999-02-20 00:00:00	1.178	0.60
1999-02-21 00:00:00	1.143	0.80
1999-02-22 00:00:00	1.112	0.30
1999-02-23 00:00:00	1.092	0.00
1999-02-24 00:00:00	1.076	0.00
1999-02-25 00:00:00	1.054	0.20
1999-02-26 00:00:00	1.026	0.10
1999-02-27 00:00:00	0.994	0.00
1999-02-28 00:00:00	0.962	0.10
1999-03-01 00:00:00	0.931	0.00
1999-03-02 00:00:00	0.901	0.20
1999-03-03 00:00:00	0.872	0.30
1999-03-04 00:00:00	0.844	0.10
1999-03-05 00:00:00	0.821	0.00
1999-03-06 00:00:00	0.799	0.00
1999-03-07 00:00:00	0.774	0.10
1999-03-08 00:00:00	0.750	0.10
1999-03-09 00:00:00	0.727	0.20
1999-03-10 00:00:00	0.704	0.20
1999-03-11 00:00:00	0.682	0.10
1999-03-12 00:00:00	0.661	0.10
1999-03-13 00:00:00	0.639	0.10
1999-03-14 00:00:00	0.618	0.10
1999-03-15 00:00:00	0.598	0.30
1999-03-16 00:00:00	0.579	0.60
1999-03-17 00:00:00	0.585	0.90
1999-03-18 00:00:00	0.726	1.40
