!Date	POC (mmolC/m3)
1998-12-30 00:00:00	116.6
1999-01-19 00:00:00	116.6
1999-02-16 00:00:00	50
1999-03-15 00:00:00	33.3
1999-05-17 00:00:00	158.2
1999-06-13 00:00:00	58.3
1999-07-12 00:00:00	50
1999-08-15 00:00:00	25
1999-09-19 00:00:00	8.3
1999-11-15 00:00:00	91.6
1999-12-12 00:00:00	133.2
2000-01-19 00:00:00	116.6
2000-02-16 00:00:00	50
2000-03-15 00:00:00	33.3
2000-05-17 00:00:00	158.2
2000-06-13 00:00:00	58.3
2000-07-12 00:00:00	50
2000-08-15 00:00:00	25
2000-09-19 00:00:00	8.3
2000-11-15 00:00:00	91.6
2000-12-12 00:00:00	133.2
2001-01-17 00:00:00	50
2001-02-13 00:00:00	99.9
2001-03-14 00:00:00	116.6
2001-04-17 00:00:00	58.3
2001-05-09 00:00:00	58.3
2001-06-11 00:00:00	74.9
2001-07-17 00:00:00	83.3
2001-09-18 00:00:00	16.7
2001-10-16 00:00:00	58.3
2001-11-07 00:00:00	50
2002-01-16 00:00:00	74.9
2002-02-13 00:00:00	0
2002-03-12 00:00:00	50
2002-04-16 00:00:00	41.6
2002-05-15 00:00:00	25
2002-06-12 00:00:00	83.3
2002-07-15 00:00:00	91.6
2002-08-20 00:00:00	58.3
2002-09-24 00:00:00	16.7
2002-10-22 00:00:00	58.3
2002-11-19 00:00:00	50
2002-12-17 00:00:00	41.6
2003-01-22 00:00:00	0
2003-02-17 00:00:00	124.9
2003-03-17 00:00:00	41.6
2003-04-14 00:00:00	99.9
2003-05-13 00:00:00	66.6
2003-06-16 00:00:00	25
2003-07-08 00:00:00	133.2
2003-08-26 00:00:00	104.1
2003-09-16 00:00:00	66.6
2003-10-13 00:00:00	0
2003-11-18 00:00:00	33.3
2003-12-09 00:00:00	33.3
2004-01-13 00:00:00	41.6
2004-02-17 00:00:00	99.9
2004-03-16 00:00:00	116.6
2004-04-13 00:00:00	66.6
2004-05-12 00:00:00	74.9
2004-06-15 00:00:00	50
2004-07-13 00:00:00	41.6
2004-08-24 00:00:00	41.6
2004-09-21 00:00:00	50
2004-10-12 00:00:00	41.6
2004-11-16 00:00:00	74.9
2004-12-14 00:00:00	41.6
2005-01-18 00:00:00	83.3
2005-02-09 00:00:00	108.2
2005-03-15 00:00:00	74.9
2005-04-12 00:00:00	66.6
2005-05-10 00:00:00	50
2005-06-14 00:00:00	74.9
2005-07-19 00:00:00	116.6
2005-08-17 00:00:00	58.3
2005-09-13 00:00:00	50
2005-10-11 00:00:00	66.6
2005-11-15 00:00:00	33.3
2005-12-13 00:00:00	33.3
2006-01-17 00:00:00	25
2006-02-16 00:00:00	41.6
2006-03-14 00:00:00	33.3
2006-04-11 00:00:00	191.5
2006-05-08 00:00:00	208.2
2006-05-17 00:00:00	16.7
2006-06-13 00:00:00	91.6
2006-07-11 00:00:00	99.9
2006-08-17 00:00:00	305.2
2006-10-17 00:00:00	108.2
2006-11-16 00:00:00	58.3
2006-12-12 00:00:00	58.3
2007-01-16 00:00:00	149.9
2007-02-13 00:00:00	33.3
2007-03-13 00:00:00	166.5
2007-04-18 00:00:00	58.3
2007-05-15 00:00:00	66.6
2007-06-20 00:00:00	41.6
2007-07-10 00:00:00	208.2
2007-08-07 00:00:00	116.6
2007-10-16 00:00:00	41.6
2007-11-13 00:00:00	33.3
2007-12-11 00:00:00	141.5
2008-01-15 00:00:00	83.3
2008-02-19 00:00:00	50
2008-03-12 00:00:00	83.3
2008-03-18 00:00:00	108.2
2008-04-02 00:00:00	41.6
2008-04-08 00:00:00	74.9
2008-04-14 00:00:00	149.9
2008-04-22 00:00:00	99.9
2008-05-12 00:00:00	68.3
2008-06-11 00:00:00	26.2
2008-07-07 00:00:00	99.9
2008-08-06 00:00:00	88.7
2008-08-12 00:00:00	83.3
2008-09-10 00:00:00	74.9
2008-10-14 00:00:00	83.3
2008-11-18 00:00:00	83.3
2008-12-02 00:00:00	116.6
2008-12-15 00:00:00	74.9
2009-01-13 00:00:00	58.3
2009-02-10 00:00:00	45.8
2009-03-16 00:00:00	116.6
2009-03-31 00:00:00	124.9
2009-04-14 00:00:00	99.9
2009-05-18 00:00:00	72.9
2009-06-15 00:00:00	236.1
2009-07-07 00:00:00	77.9
2009-08-04 00:00:00	124.9
2009-09-15 00:00:00	37.5
2009-10-13 00:00:00	58.3
2009-11-02 00:00:00	95.3
2009-11-24 00:00:00	83.3
2009-12-08 00:00:00	72
2010-01-12 00:00:00	58.3
2010-03-16 00:00:00	149.9
2010-03-31 00:00:00	395.5
2010-04-12 00:00:00	197.8
2010-04-28 00:00:00	130.7
2010-05-18 00:00:00	108.2
2010-06-15 00:00:00	58.3
2010-07-06 00:00:00	99.9
